Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
15,,DSCOVR[68][73],,HEO(Sun–Earth L1insertion),USAFNASANOAA,,"Cape Canaveral,LC-40","570 kg (1,260 lb)",Success,F9 v1.1B1013[8],Controlled(ocean)[d],"11 February 2015,23:03[72]",
16,,ABS-3AEutelsat 115 West B[68],,GTO,ABSEutelsat,,"Cape Canaveral,LC-40","4,159 kg (9,169 lb)",Success,F9 v1.1B1014[8],No attempt[77],"2 March 2015,03:50[21][76]",
17,,SpaceX CRS-6[68](DragonC108.1),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","1,898 kg (4,184 lb)[82]",Success,F9 v1.1B1015[8],Failure[83](drone ship),"14 April 2015,20:10[21]",
18,,TürkmenÄlem 52°E / MonacoSAT[68][87],,GTO,Turkmenistan NationalSpace Agency[88],,"Cape Canaveral,LC-40","4,707 kg (10,377 lb)",Success,F9 v1.1B1016[8],No attempt[89],"27 April 2015,23:03[86]",
19,,SpaceX CRS-7[68](Dragon C109),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","1,952 kg (4,303 lb)[92]",Failure[93](in flight),F9 v1.1B1018[8],Precluded[94](drone ship),"28 June 2015,14:21[21][91]",
20,,Orbcomm-OG2-2(11 satellites)[22][97],,LEO,Orbcomm,,"Cape Canaveral,LC-40","2,034 kg (4,484 lb)",Success,F9 FTB1019.1[98],Success[99](ground pad),"22 December 2015,01:29[97]",
21,,Jason-3[68][104],,LEO,NASA(LSP)NOAACNES,,"VAFB,SLC-4E","553 kg (1,219 lb)",Success,F9 v1.1B1017[8],Failure(drone ship),"17 January 2016,18:42[21]",
22,,SES-9[68][109][110],,GTO,SES,,"Cape Canaveral,LC-40","5,271 kg (11,621 lb)",Success,F9 FTB1020.1[108],Failure(drone ship),"4 March 2016,23:35[21]",
23,,SpaceX CRS-8[68][110](Dragon C110.1),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","3,136 kg (6,914 lb)[116]",Success[117],F9 FTB1021.1[115],Success[118](drone ship),"8 April 2016,20:43[21]",
24,,JCSAT-14[123],,GTO,SKY Perfect JSAT Group,,"Cape Canaveral,LC-40","4,696 kg (10,353 lb)[124]",Success,F9 FTB1022.1[122],Success(drone ship),"6 May 2016,05:21[21]",
25,,Thaicom 8[130][131],,GTO,Thaicom,,"Cape Canaveral,LC-40","3,100 kg (6,800 lb)[132]",Success,F9 FTB1023.1[129],Success[133](drone ship),"27 May 2016,21:39[128]",
26,,ABS-2AEutelsat 117 West B[68],,GTO,ABSEutelsat,,"Cape Canaveral,LC-40","3,600 kg (7,900 lb)",Success,F9 FTB1024.1[108],Failure[64](drone ship),"15 June 2016,14:29[21]",
27,,SpaceX CRS-9[68][141](Dragon C111.1),,LEO(ISS),NASA(CRS),,"Cape Canaveral,LC-40","2,257 kg (4,976 lb)[142]",Success,F9 FTB1025.1[129],Success(ground pad),"18 July 2016,04:45[21]",
28,,JCSAT-16,,GTO,SKY Perfect JSAT Group,,"Cape Canaveral,LC-40","4,600 kg (10,100 lb)",Success,F9 FTB1026.1[108],Success(drone ship),"14 August 2016,05:26",
N/A[e],,Amos-6[146],,GTO,Spacecom,,"Cape Canaveral,LC-40","5,500 kg (12,100 lb)",Precluded(failure pre-flight),F9 FTB1028.1[108],Precluded(drone ship),"3 September 2016,07:00(planned)[145]",
29,,Iridium NEXT-1(10 satellites)[152][153],,PolarLEO,Iridium Communications,,"VAFB,SLC-4E","9,600 kg (21,200 lb)",Success,F9 FTB1029.1[151],Success[154](drone ship),"14 January 2017,17:54",
30,,SpaceX CRS-10[141](Dragon C112.1),,LEO(ISS),NASA(CRS),,"KSC,LC-39A","2,490 kg (5,490 lb)[160]",Success,F9 FTB1031.1[8],Success(ground pad),"19 February 2017,14:39",
